player_name,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Sari van Veenendaal,8,698,0,1,87.25,0.125
Alexandra Riley,6,560,0,0,93.33333333333333,0.0
Wilaiporn Boothduang,1,35,0,1,35.0,1.0
Pikul Khueanpet,3,274,1,0,91.33333333333333,0.0
Rosemary Kathleen Lavelle,30,2541,19,8,84.7,0.26666666666666666
Carli Anne Hollins,12,1121,7,0,93.41666666666667,0.0
Tobin Powell Heath,19,1590,2,8,83.6842105263158,0.42105263157894735
Christen Annemarie Press,27,2325,7,9,86.11111111111111,0.3333333333333333
Rattikan Thongsombut,3,176,0,3,58.666666666666664,1.0
Taneekarn Dangda,2,180,1,0,90.0,0.0
Julie Beth Ertz,15,1337,0,2,89.13333333333334,0.13333333333333333
Mallory Pugh,7,557,3,2,79.57142857142857,0.2857142857142857
Warunee Phetwiset,2,158,0,2,79.0,1.0
Orathai Srimanee,2,168,2,1,84.0,0.5
Lindsey Michelle Horan,16,1475,2,2,92.1875,0.125
Abby Dahlkemper,25,2307,1,1,92.28,0.04
Samantha June Mewis,31,2658,7,9,85.74193548387096,0.2903225806451613
Natthakarn Chinwong,3,277,0,0,92.33333333333333,0.0
Ainon Phancha,3,273,0,0,91.0,0.0
Kelley Maureen O'Hara,9,836,3,2,92.88888888888889,0.2222222222222222
Megan Anna Rapinoe,13,1222,3,5,94.0,0.38461538461538464
Silawan Intamee,3,249,0,2,83.0,0.6666666666666666
Sunisa Srangthaisong,3,279,0,0,93.0,0.0
Sukanya Chor Charoenying,1,91,0,0,91.0,0.0
Suchawadee Nildhamrong,3,269,0,0,89.66666666666667,0.0
Crystal Alyssia Dunn Soubrier,21,1863,0,6,88.71428571428571,0.2857142857142857
Kanjana Sungngoen,3,272,0,0,90.66666666666667,0.0
Kanjanaporn Saengkoon,2,186,1,0,93.0,0.0
Alexandra Morgan Carrasco,20,1687,2,8,84.35,0.4
Alyssa Michele Naeher,16,1509,0,0,94.3125,0.0
María José Urrutia,3,221,0,2,73.66666666666667,0.6666666666666666
Yesenia López,3,284,2,0,94.66666666666667,0.0
Emma Stina Blackstenius,22,1945,2,13,88.4090909090909,0.5909090909090909
Anna Anvegård,3,266,2,1,88.66666666666667,0.3333333333333333
Fridolina Rolfö,20,1575,2,11,78.75,0.55
Lina Mona Andréa Hurtig,21,1972,17,3,93.9047619047619,0.14285714285714285
Elin Ingrid Johanna Rubensson,13,1139,2,8,87.61538461538461,0.6153846153846154
Madelen Fatimma Maria Janogy,10,945,7,3,94.5,0.3
Yanara Aedo,2,182,0,1,91.0,0.5
Rocio Andrea Soto Collao,2,183,1,0,91.5,0.0
Sara Caroline Seger,13,1130,3,3,86.92307692307692,0.23076923076923078
Nilla Fischer,6,557,0,1,92.83333333333333,0.16666666666666666
Daniela Paz Zamora Mancilla,3,282,0,0,94.0,0.0
Linda Brigitta Sembrant,14,1317,4,1,94.07142857142857,0.07142857142857142
Hanna Erica Maria Glas,11,1054,1,0,95.81818181818181,0.0
Kosovare Asllani,22,1850,0,10,84.0909090909091,0.45454545454545453
Rosario Balmaceda,3,279,0,0,93.0,0.0
Francisca Alejandra Lara Lara,3,277,0,1,92.33333333333333,0.3333333333333333
Camila Alejandra Saez Oyaneder,3,283,0,0,94.33333333333333,0.0
Karen Araya,3,234,0,1,78.0,0.3333333333333333
Su Helen Ignacia Galaz Espinoza,2,188,0,0,94.0,0.0
Eva Sofia Jakobsson,13,1251,5,2,96.23076923076923,0.15384615384615385
Javiera Toro,2,184,0,0,92.0,0.0
Claudia Christiane Endler Mutinelli,3,272,0,0,90.66666666666667,0.0
Carla Valentina Guerrero Puelle,3,282,0,0,94.0,0.0
Rut Hedvig Lindahl,13,1226,0,0,94.3076923076923,0.0
Mi-Ra Moon,5,463,4,1,92.6,0.2
So-Dam Lee,1,93,1,0,93.0,0.0
Anam Imo,2,182,2,0,91.0,0.0
Chiamaka Cynthia Nnadozie,7,695,0,0,99.28571428571429,0.0
Karina Sævik,11,912,7,4,82.9090909090909,0.36363636363636365
Charlotte Bilbault,7,623,1,1,89.0,0.14285714285714285
Synne Skinnes Hansen,3,306,3,0,102.0,0.0
Klara Bühl,15,1263,2,9,84.2,0.6
Silvia Meseguer Bellido,1,65,0,1,65.0,1.0
Patricia Guijarro Gutiérrez,13,1274,1,1,98.0,0.07692307692307693
Lena Goeßling,1,79,0,1,79.0,1.0
Verena Schweers,3,184,0,2,61.333333333333336,0.6666666666666666
Luana Bertolucci Paixão,5,441,2,2,88.2,0.4
Marta Vieira da Silva,9,803,0,2,89.22222222222223,0.2222222222222222
Emily Gielnik,3,251,1,2,83.66666666666667,0.6666666666666666
Karly Røstbakken,2,185,1,0,92.5,0.0
Sibulele Cecilia Holweni,4,361,2,1,90.25,0.25
Ying Li,3,262,0,1,87.33333333333333,0.3333333333333333
Yan Wang,3,232,0,2,77.33333333333333,0.6666666666666666
Bambanani Nolufefe Mbane,5,422,0,1,84.4,0.2
Mamello Makhabane,2,186,0,0,93.0,0.0
Kaylin Swart,5,473,0,0,94.6,0.0
Rikako Kobayashi,2,152,1,1,76.0,0.5
Lana Clelland,1,90,1,0,90.0,0.0
Fiona Brown,2,185,2,0,92.5,0.0
Hayley Lauder,1,91,0,0,91.0,0.0
Nana Ichise,3,277,0,0,92.33333333333333,0.0
Rachel Daly,32,2913,5,6,91.03125,0.1875
Yael Damaris Oviedo,1,92,1,0,92.0,0.0
Jodie Taylor,10,885,2,4,88.5,0.4
Adriana María Sachs,2,185,0,0,92.5,0.0
Carly Mitchell Telford,6,552,0,0,92.0,0.0
Lisa Boattin,12,1134,3,1,94.5,0.08333333333333333
Mireya Grey,2,136,0,2,68.0,1.0
Olufolasade Adamolekun,1,75,0,1,75.0,1.0
Lauren Amanda Silver,1,92,1,0,92.0,0.0
Sashana Campbell,2,180,0,0,90.0,0.0
Michaela Abam,4,309,1,2,77.25,0.5
Geneviève Ngo Mbeleck,1,65,0,1,65.0,1.0
Anouk Dekker,4,347,1,1,86.75,0.25
Anna Green,2,159,1,1,79.5,0.5
Jayde Yuk Fun Riviere,6,478,2,4,79.66666666666667,0.6666666666666666
Rebecca Quinn,11,1003,3,1,91.18181818181819,0.09090909090909091
Emma Kete,1,90,1,0,90.0,0.0
Olivia Alma Charlotta Schough,7,582,5,2,83.14285714285714,0.2857142857142857
Mimmi Larsson,2,219,2,0,109.5,0.0
Orapin Waenngoen,2,182,2,0,91.0,0.0
Sudarat Chuchuen,2,187,2,0,93.5,0.0
Waraporn Boonsing,2,188,0,0,94.0,0.0
Pitsamai Sornsai,2,185,0,0,92.5,0.0
Jessica McDonald,12,970,1,8,80.83333333333333,0.6666666666666666
Claudia Soto,1,46,0,1,46.0,1.0
Allie Long,7,651,1,0,93.0,0.0
Yessenia Estefani Huenteo Cheuqueman,1,94,1,0,94.0,0.0
Emily Ann Sonnett,8,763,2,1,95.375,0.125
Daniela Pardo,1,92,1,0,92.0,0.0
Tierna Lillis Davidson,1,94,0,0,94.0,0.0
Morgan Paige Gautrat,6,521,2,2,86.83333333333333,0.3333333333333333
Ali Krieger,9,815,2,1,90.55555555555556,0.1111111111111111
Rebecca Elizabeth Sauerbrunn,10,921,1,0,92.1,0.0
Evelyn Chiedu Nwabuoku,2,144,1,1,72.0,0.5
Viviane Asseyi,4,369,3,1,92.25,0.25
Eun-Mi Lee,1,78,0,1,78.0,1.0
Yeong-Ah Jeong,1,92,1,0,92.0,0.0
Dam-Yeong Shin,1,92,0,0,92.0,0.0
Andrea Sánchez Falcón,2,190,2,0,95.0,0.0
Wen Li,1,93,1,0,93.0,0.0
Celia Jiménez Delgado,1,93,1,0,93.0,0.0
Leila Ouahabi El Ouahabi,9,778,3,2,86.44444444444444,0.2222222222222222
Rhoda Mulaudzi,1,93,1,0,93.0,0.0
Linda Dallmann,12,1081,8,4,90.08333333333333,0.3333333333333333
Harry Kewell,4,296,1,1,74.0,0.25
Vladimir Smicer,2,166,1,1,83.0,0.5
Steve Finnan,3,224,0,2,74.66666666666667,0.6666666666666666
Dietmar Hamann,2,213,1,0,106.5,0.0
Milan Baroš,2,175,1,1,87.5,0.5
Djibril Cissé,1,122,1,0,122.0,0.0
Hernán Jorge Crespo,2,176,0,1,88.0,0.5
Jon Dahl Tomasson,2,216,2,0,108.0,0.0
Clarence Seedorf,2,176,0,2,88.0,1.0
Claudio Santos,1,120,1,0,120.0,0.0
Ivan Gennaro Gattuso,2,201,0,1,100.5,0.5
Rui Manuel César Costa,2,211,1,0,105.5,0.0
Steven Gerrard,4,397,0,0,99.25,0.0
Djimi Traoré,1,119,0,0,119.0,0.0
Andrea Pirlo,2,213,0,0,106.5,0.0
Ricardo Izecson dos Santos Leite,6,548,2,1,91.33333333333333,0.16666666666666666
Marcos Evangelista de Moraes,1,118,0,0,118.0,0.0
Andriy Shevchenko,1,121,0,0,121.0,0.0
Sami Hyypiä,3,301,0,0,100.33333333333333,0.0
John Arne Semundseth Riise,4,396,0,0,99.0,0.0
Paolo Maldini,2,207,0,0,103.5,0.0
Jerzy Dudek,3,308,0,0,102.66666666666667,0.0
Luis Javier García Sanz,5,436,3,1,87.2,0.2
Xabier Alonso Olano,36,3079,3,8,85.52777777777777,0.2222222222222222
Jamie Carragher,3,302,0,0,100.66666666666667,0.0
Jaap Stam,2,211,0,0,105.5,0.0
Nelson de Jesus da Silva,2,217,0,0,108.5,0.0
