player_name,goals,assists,shots,passes,successful_passes,tackles,interceptions,clearances,yellow_cards,red_cards,fouls,pass_accuracy,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Adrien Sebastian Perruchet Silva,0.0,1.0,2.0,160.0,145.0,0.0,1.0,0.0,0.0,0.0,3.0,0.90625,3,253,1,1,84.33333333333333,0.3333333333333333
Adrien Thomasson,2.0,5.0,39.0,1594.0,1181.0,0.0,25.0,23.0,2.0,0.0,52.0,0.7409033877038896,36,2906,4,17,80.72222222222223,0.4722222222222222
Adrien Truffert,0.0,1.0,0.0,54.0,47.0,0.0,0.0,3.0,0.0,0.0,1.0,0.8703703703703703,3,171,1,2,57.0,0.6666666666666666
Adrián Andrés Cubas,0.0,0.0,0.0,92.0,82.0,0.0,2.0,0.0,0.0,1.0,3.0,0.8913043478260869,2,174,0,0,87.0,0.0
Adrián Colunga Pérez,2.0,0.0,5.0,74.0,46.0,0.0,1.0,0.0,0.0,0.0,8.0,0.6216216216216216,5,355,1,3,71.0,0.6
Adrián Embarba Blázquez,2.0,4.0,43.0,790.0,496.0,0.0,29.0,24.0,1.0,0.0,32.0,0.6278481012658228,30,2456,10,9,81.86666666666666,0.3
Adrián González Morales,5.0,0.0,58.0,1315.0,951.0,0.0,33.0,36.0,0.0,0.0,64.0,0.7231939163498099,42,3493,9,16,83.16666666666667,0.3809523809523809
Adrián Javier Gunino Duque,0.0,0.0,0.0,17.0,13.0,0.0,3.0,1.0,0.0,0.0,4.0,0.7647058823529411,1,91,1,0,91.0,0.0
Adrián López Rodríguez,0.0,0.0,0.0,32.0,20.0,0.0,3.0,12.0,0.0,0.0,2.0,0.625,2,175,0,0,87.5,0.0
Adrián López Álvarez,6.0,4.0,18.0,605.0,416.0,0.0,6.0,13.0,0.0,0.0,13.0,0.687603305785124,30,2333,13,14,77.76666666666667,0.4666666666666667
Adrián Marín Gómez,0.0,1.0,1.0,577.0,441.0,0.0,27.0,30.0,0.0,0.0,15.0,0.7642980935875217,14,1290,3,0,92.14285714285714,0.0
Adrián Nicolás Luna Retamar,6.0,7.0,30.0,1064.0,745.0,0.0,41.0,9.0,2.0,0.0,35.0,0.700187969924812,23,2100,1,8,91.30434782608695,0.3478260869565217
Adrián Rus,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2,183,2,0,91.5,0.0
Adrián San Miguel del Castillo,0.0,0.0,0.0,1054.0,585.0,0.0,0.0,4.0,1.0,0.0,1.0,0.5550284629981025,34,3159,0,0,92.91176470588236,0.0
Adrián Sardinero Corpa,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,92,1,0,92.0,0.0
Adryan Oliveira Tavares,3.0,2.0,31.0,626.0,426.0,0.0,6.0,5.0,0.0,0.0,15.0,0.6805111821086262,26,1928,7,16,74.15384615384616,0.6153846153846154
Afriyie Acquah,2.0,3.0,24.0,702.0,503.0,0.0,16.0,18.0,2.0,0.0,48.0,0.7165242165242165,29,2380,7,10,82.06896551724138,0.3448275862068966
Ager Aketxe Barrutia,0.0,0.0,4.0,95.0,70.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7368421052631579,3,249,1,1,83.0,0.3333333333333333
Agla María Albertsdóttir,0.0,0.0,3.0,54.0,26.0,0.0,4.0,2.0,0.0,0.0,7.0,0.4814814814814814,6,521,4,2,86.83333333333333,0.3333333333333333
Agne Simonsson,1.0,1.0,3.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6129032258064516,1,90,0,0,90.0,0.0
