player_name,season,season_encoded,team,position,position_encoded,current_age,market_value_eur,log_market_value,market_value_tier_encoded,market_value_source,age_squared,age_decay_factor,career_stage,pos_Defender,pos_Forward,pos_Goalkeeper,pos_Midfielder,matches,minutes_played,minutes_per_match,minutes_played_tier_encoded,goals,assists,shots,passes_total,passes_complete,pass_accuracy_pct,pass_accuracy_tier_encoded,tackles_total,tackles_won,tackle_success_rate,dribbles,interceptions,fouls_committed,goals_per90,assists_per90,shots_per90,goal_contributions_per90,shot_conversion_rate,assist_to_goal_ratio,defensive_actions_per90,dribbles_per90,attacking_output_index,total_injuries,total_days_injured,total_matches_missed,most_common_injury,injury_burden_index,availability_rate,injury_frequency,total_injuries_tier_encoded,total_tweets,total_likes,positive_tweets,negative_tweets,tweet_engagement_rate,social_buzz_score,transfer_attractiveness_score,vader_positive_score,vader_negative_score,vader_compound_score,tb_polarity,tb_subjectivity,positive_count,negative_count,neutral_count,sentiment_label
Jaime Mata Arnaiz,2019/20,1,Getafe,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,70,70.0,1,1,0,2,19,13,68.4,1,4,0,0.0,1,0,3,1.2857,0.0,2.5714,1.2857,0.5,0.0,5.1429,1.2857,5.5286,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.8383,0.076,0.0,0.1102,0.1,0.4,1,0,2,Positive
Luka Modrić,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,112,56.0,1,1,0,2,60,50,83.3,2,3,0,0.0,4,1,3,0.8036,0.0,1.6071,0.8036,0.5,0.0,3.2143,3.2143,4.1786,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,78.2833,0.0613,0.1347,-0.0528,0.1917,0.4278,1,1,1,Negative
Toni Kroos,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,161,80.5,1,1,0,5,113,98,86.7,3,8,0,0.0,4,1,4,0.559,0.0,2.795,0.559,0.2,0.0,5.0311,2.236,3.7453,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,78.6535,0.0887,0.1467,-0.0171,-0.019,0.206,1,1,1,Neutral
Federico Santiago Valverde Dipetta,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,128,64.0,1,1,0,3,60,44,73.3,2,7,3,0.4286,3,3,3,0.7031,0.0,2.1094,0.7031,0.3333,0.0,7.0312,2.1094,3.7969,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.7108,0.0,0.0993,-0.1756,0.0444,0.2889,0,1,2,Negative
Gonzalo Julián Melero Manzanares,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,171,85.5,1,1,0,2,67,59,88.1,3,5,0,0.0,2,5,2,0.5263,0.0,1.0526,0.5263,0.5,0.0,5.2632,1.0526,2.4211,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,77.087,0.184,0.0833,0.0706,0.0,0.35,2,1,0,Positive
Sergio León Limones,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,25,12.5,1,1,0,2,7,5,71.4,2,2,0,0.0,1,0,0,3.6,0.0,7.2,3.6,0.5,0.0,7.2,3.6,15.48,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,91.6655,0.256,0.0853,0.3447,0.3778,0.6417,2,0,1,Positive
Samuel Chimerenka Chukwueze,2019/20,1,Villarreal,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,161,80.5,1,1,0,1,57,41,71.9,2,3,0,0.0,12,1,2,0.559,0.0,0.559,0.559,1.0,0.0,2.236,6.7081,3.9689,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,74.5489,0.29,0.0357,0.4928,0.0111,0.3988,3,0,0,Positive
José Luis Morales Nogales,2019/20,1,Levante UD,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,113,56.5,1,1,0,5,44,25,56.8,1,3,0,0.0,4,3,1,0.7965,0.0,3.9823,0.7965,0.2,0.0,4.7788,3.1858,5.3363,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,72.0699,0.0417,0.1067,-0.1409,0.2167,0.35,0,1,2,Negative
Sergio Ramos García,2019/20,1,Real Madrid,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,1,90,90.0,1,1,0,4,58,55,94.8,3,2,0,0.0,0,1,2,1.0,0.0,4.0,1.0,0.25,0.0,3.0,0.0,5.0,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,82.9655,0.0,0.1823,-0.3032,0.1667,0.4833,0,2,1,Negative
Víctor Ruíz Torre,2019/20,1,Real Betis,Midfielder,3,25,9000000.0,16.0127,1,estimated,625,1.0,Prime,0,0,0,1,2,119,59.5,1,1,0,2,64,51,79.7,2,2,0,0.0,0,2,3,0.7563,0.0,1.5126,0.7563,0.5,0.0,3.0252,0.0,3.0252,0,0,0,,0,1.0,0.0,0,0,0,0,0,0.0,0.0,75.4733,0.2213,0.0357,0.3416,0.1083,0.4194,3,0,0,Positive
